Station Display Name,Zone,Customer Category,Postal Code,EVSE Latitude and Longitude,Long,Lat
HANOVER / L5,HANOVER,Multifamily,78701,"(30.265299, -97.749118)",-97.749118,30.265299
HANOVER / L6,HANOVER,Multifamily,78701,"(30.265239, -97.74912)",-97.74912,30.265239
HANOVER / L7,HANOVER,Multifamily,78701,"(30.265166, -97.749131)",-97.749131,30.265166
HANOVER / LANTANA HILLS,HANOVER,Multifamily,78735,"(30.24912, -97.862418)",-97.862418,30.24912
HEB / HEB LAKEWAY #1,HEB,Retail,78734,"(30.344323, -97.967673)",-97.967673,30.344323
HEB / HEB LAKEWAY #2,HEB,Retail,78734,"(30.344254, -97.967587)",-97.967587,30.344254
HPE AUSTIN / TXN04 A,HPE AUSTIN,Workplace,78728,"(30.445476, -97.690074)",-97.690074,30.445476
HPE AUSTIN / TXN04 B,HPE AUSTIN,Workplace,78728,"(30.445485, -97.690128)",-97.690128,30.445485
HPI 3700 / 3900 SC #1,HPI 3700,Workplace,78746,"(30.337898, -97.807867)",-97.807867,30.337898
HPI 3700 / 3900 SC #2,HPI 3700,Workplace,78746,"(30.337882, -97.807765)",-97.807765,30.337882
HPI 3700 / EV 1,HPI 3700,Workplace,78746,"(30.33688, -97.806575)",-97.806575,30.33688
HPI 3700 / EV 2,HPI 3700,Workplace,78746,"(30.336797, -97.806151)",-97.806151,30.336797
HPI 3700 / EV 3,HPI 3700,Workplace,78746,"(30.336765, -97.806189)",-97.806189,30.336765
HPI 3700 / EV 4,HPI 3700,Workplace,78746,"(30.336723, -97.806259)",-97.806259,30.336723
HPI 3700 / EV 5,HPI 3700,Workplace,78746,"(30.336623, -97.807619)",-97.807619,30.336623
HPI 3700 / EV 6,HPI 3700,Workplace,78746,"(30.336616, -97.8076)",-97.8076,30.336616
INT-BIO EV CHGR / INTBIO EV CHGR1,INT-BIO EV CHGR,Workplace,78754,"(30.33089, -97.668908)",-97.668908,30.33089
INT-BIO EV CHGR / INTBIO EV CHGR2,INT-BIO EV CHGR,Workplace,78754,"(30.330901, -97.668947)",-97.668947,30.330901
LADERA BEND / BUILDING 3,LADERA BEND,Workplace,78750,"(30.371215, -97.800887)",-97.800887,30.371215
LADERA BEND / GATED GARAGE 2,LADERA BEND,Workplace,78730,"(30.372159, -97.80166)",-97.80166,30.372159
LADERA BEND / GATED GARAGE GW,LADERA BEND,Workplace,78730,"(30.372427, -97.801834)",-97.801834,30.372427
LAMARHEIGHTS-AE / LAMAR 1,LAMARHEIGHTS-AE,Multifamily,78751,"(30.322464, -97.7292)",-97.7292,30.322464
LCPM / GARAGE 1,LCPM,Workplace,78705,"(30.306188, -97.743433)",-97.743433,30.306188
LEASING OFFICE / STATION 1,LEASING OFFICE,Multifamily,78737,"(30.231128000000002, -97.889867)",-97.889867,30.231128000000002
LIVESTRONG / 2201 E 6TH ST,LIVESTRONG,Healthcare,78702,"(30.25997, -97.718658)",-97.718658,30.25997
MIRA VISTA / STATION 1,MIRA VISTA,Workplace,78746,"(30.269525, -97.786972)",-97.786972,30.269525
MONOGRAM / HANDICAP,MONOGRAM,Multifamily,78701,"(30.270571, -97.748993)",-97.748993,30.270571
MONOGRAM / PARKING 2-3,MONOGRAM,Multifamily,78701,"(30.270562, -97.748959)",-97.748959,30.270562
MONOGRAM / PARKING 4-5,MONOGRAM,Multifamily,78701,"(30.270567, -97.748906)",-97.748906,30.270567
MUELLER MARKET / MUELLER 1,MUELLER MARKET,Retail,78723,"(30.301411, -97.699019)",-97.699019,30.301411
MUELLER MARKET / MUELLER 2,MUELLER MARKET,Retail,78723,"(30.302981, -97.698722)",-97.698722,30.302981
MUELLER MARKET / MUELLER 3,MUELLER MARKET,Retail,78723,"(30.301581, -97.699416)",-97.699416,30.301581
MUELLER MARKET / MUELLER 4,MUELLER MARKET,Retail,78723,"(30.301615, -97.69867)",-97.69867,30.301615
MUELLER MARKET / MUELLER 5,MUELLER MARKET,Retail,78723,"(30.302555, -97.69899)",-97.69899,30.302555
MUELLER MARKET / MUELLER 6,MUELLER MARKET,Retail,78723,"(30.301591, -97.699535)",-97.699535,30.301591
MUELLER MARKET / MUELLER ST2,MUELLER MARKET,Retail,78723,"(30.301649, -97.698956)",-97.698956,30.301649
MUELLER MARKET / MUELLERST1,MUELLER MARKET,Retail,78723,"(30.302909, -97.69916)",-97.69916,30.302909
NATIONAL INSTRU / 1&2,NATIONAL INSTRU,Workplace,78759,"(30.408792, -97.725312)",-97.725312,30.408792
NATIONAL INSTRU / 11&12;,NATIONAL INSTRU,Workplace,78759,"(30.408722, -97.725271)",-97.725271,30.408722
NATIONAL INSTRU / 13&14;,NATIONAL INSTRU,Workplace,78759,"(30.408775, -97.725228)",-97.725228,30.408775
NATIONAL INSTRU / 15&16;,NATIONAL INSTRU,Workplace,78759,"(30.408822, -97.725196)",-97.725196,30.408822
NATIONAL INSTRU / 17&18;,NATIONAL INSTRU,Workplace,78759,"(30.408534, -97.727744)",-97.727744,30.408534
NATIONAL INSTRU / 19&20;,NATIONAL INSTRU,Workplace,78759,"(30.40854, -97.72767)",-97.72767,30.40854
NATIONAL INSTRU / 3&4,NATIONAL INSTRU,Workplace,78759,"(30.408744, -97.725343)",-97.725343,30.408744
NATIONAL INSTRU / 5&6,NATIONAL INSTRU,Workplace,78759,"(30.408705, -97.725377)",-97.725377,30.408705
NATIONAL INSTRU / 7&8,NATIONAL INSTRU,Workplace,78759,"(30.408505, -97.727699)",-97.727699,30.408505
NATIONAL INSTRU / 9&10;,NATIONAL INSTRU,Workplace,78759,"(30.408686, -97.725307)",-97.725307,30.408686
NEIGHBORHOOD HO / 912 E11TH STAT1,NEIGHBORHOOD HO,Municipal,78702,"(30.270014, -97.730825)",-97.730825,30.270014
NISSAN-TOWN NOR / QUICK CHARGER 1,NISSAN-TOWN NOR,Retail,78758,"(30.374418, -97.732155)",-97.732155,30.374418
NORTHPOINTCENTR / NORTHPOINT,NORTHPOINTCENTR,Workplace,78731,"(30.351629, -97.752035)",-97.752035,30.351629
OPHTHALMOLOGY / AUSTIN EYE STA1,OPHTHALMOLOGY,Workplace,78751,"(30.296713, -97.719788)",-97.719788,30.296713
PARKING LEVEL 1 / GATEWAY 1 MAIN,PARKING LEVEL 1,Multifamily,78758,"(30.3987, -97.724056)",-97.724056,30.3987
PARKING LEVEL 1 / KENZIE 2,PARKING LEVEL 1,Multifamily,78758,"(30.399504, -97.723519)",-97.723519,30.399504
PLUGNEVERYWHERE / ACCSOAUSTIN1,PLUGNEVERYWHERE,Education,78745,"(30.216026, -97.796371)",-97.796371,30.216026
PLUGNEVERYWHERE / ERCOT 1,PLUGNEVERYWHERE,Workplace,78744,"(30.2165, -97.691795)",-97.691795,30.2165
PLUGNEVERYWHERE / ERCOT 2,PLUGNEVERYWHERE,Workplace,78744,"(30.216521, -97.691645)",-97.691645,30.216521
PLUGNEVERYWHERE / ERCOT 3,PLUGNEVERYWHERE,Workplace,78744,"(30.216505, -97.691533)",-97.691533,30.216505
PLUGNEVERYWHERE / HEB 6EA1,PLUGNEVERYWHERE,Retail,78751,"(30.299752, -97.720467)",-97.720467,30.299752
PLUGNEVERYWHERE / PALMER STATION4,PLUGNEVERYWHERE,Parking,78704,"(30.259888, -97.752644)",-97.752644,30.259888
PLUGNEVERYWHERE / PALMER STATION5,PLUGNEVERYWHERE,Parking,78704,"(30.259881, -97.752744)",-97.752744,30.259881
PLUGNEVERYWHERE / PALMER STATION6,PLUGNEVERYWHERE,Parking,78704,"(30.259925, -97.752708)",-97.752708,30.259925
PLUGNEVERYWHERE / PALMER STATION7,PLUGNEVERYWHERE,Parking,78704,"(30.259888, -97.752687)",-97.752687,30.259888
PLUGNEVERYWHERE / PALMER STATION8,PLUGNEVERYWHERE,Parking,78704,"(30.2599, -97.752776)",-97.752776,30.2599
PLUGNEVERYWHERE / PALMER STATION9,PLUGNEVERYWHERE,Parking,78704,"(30.25989, -97.752711)",-97.752711,30.25989
PLUGNEVERYWHERE / PUB CAMP MABRY1,PLUGNEVERYWHERE,Parking,78703,"(30.316576, -97.757643)",-97.757643,30.316576
PLUGNEVERYWHERE / PUB CAMP MABRY2,PLUGNEVERYWHERE,Parking,78703,"(30.31659, -97.757581)",-97.757581,30.31659
PLUGNEVERYWHERE / PUB LOCKHART 1,PLUGNEVERYWHERE,Retail,78748,"(30.168498, -97.795821)",-97.795821,30.168498
PLUGNEVERYWHERE / PUB M STATION 1,PLUGNEVERYWHERE,Multifamily,78722,"(30.283607, -97.708234)",-97.708234,30.283607
PLUGNEVERYWHERE / PUB UTANTONIO 1,PLUGNEVERYWHERE,Education,78705,"(30.2885, -97.742343)",-97.742343,30.2885
PLUGNEVERYWHERE / PUB UTANTONIO 2,PLUGNEVERYWHERE,Education,78705,"(30.288454, -97.742343)",-97.742343,30.288454
PLUGNEVERYWHERE / PUB UTPICKLE1,PLUGNEVERYWHERE,Education,78758,"(30.389653, -97.725036)",-97.725036,30.389653
PLUGNEVERYWHERE / PUB UTPICKLE2,PLUGNEVERYWHERE,Education,78758,"(30.389602, -97.725084)",-97.725084,30.389602
PLUGNEVERYWHERE / PUB-ACC EVIEW1,PLUGNEVERYWHERE,Education,78702,"(30.268135, -97.706108)",-97.706108,30.268135
PLUGNEVERYWHERE / PUB-ACC EVIEW2,PLUGNEVERYWHERE,Education,78702,"(30.268106, -97.70613)",-97.70613,30.268106
PLUGNEVERYWHERE / PUB-ACC NRIDGE1,PLUGNEVERYWHERE,Education,78758,"(30.40304, -97.703682)",-97.703682,30.40304
PLUGNEVERYWHERE / PUB-ACC NRIDGE2,PLUGNEVERYWHERE,Education,78758,"(30.402954, -97.703636)",-97.703636,30.402954
PLUGNEVERYWHERE / PUBACCHIGHLAND1,PLUGNEVERYWHERE,Education,78752,"(30.322672, -97.712753)",-97.712753,30.322672
PLUGNEVERYWHERE / PUBACCHIGHLAND2,PLUGNEVERYWHERE,Education,78752,"(30.32288, -97.711792)",-97.711792,30.32288
PLUGNEVERYWHERE / PUBACCPINNACLE1,PLUGNEVERYWHERE,Education,78736,"(30.231403, -97.883194)",-97.883194,30.231403
PLUGNEVERYWHERE / PUBACCPINNACLE2,PLUGNEVERYWHERE,Education,78736,"(30.23143, -97.883171)",-97.883171,30.23143
PLUGNEVERYWHERE / PUBACCRIOGRAND1,PLUGNEVERYWHERE,Education,78701,"(30.277252, -97.747261)",-97.747261,30.277252
PLUGNEVERYWHERE / PUBACCRIOGRAND2,PLUGNEVERYWHERE,Education,78701,"(30.277239, -97.747215)",-97.747215,30.277239
PLUGNEVERYWHERE / PUBACCRIVERSID1,PLUGNEVERYWHERE,Education,78741,"(30.235128, -97.705193)",-97.705193,30.235128
PLUGNEVERYWHERE / PUBACCRIVERSID2,PLUGNEVERYWHERE,Education,78741,"(30.235104, -97.705184)",-97.705184,30.235104
PLUGNEVERYWHERE / PUBACCSOAUSTIN2,PLUGNEVERYWHERE,Education,78745,"(30.21609, -97.796324)",-97.796324,30.21609
PLUGNEVERYWHERE / PUBACCSVSCTRST1,PLUGNEVERYWHERE,Education,78754,"(30.339029, -97.662231)",-97.662231,30.339029
PLUGNEVERYWHERE / PUBACCSVSCTRST2,PLUGNEVERYWHERE,Education,78754,"(30.338486, -97.662247)",-97.662247,30.338486
PLUGNEVERYWHERE / PUBAISDBURGERC,PLUGNEVERYWHERE,Parking,78745,"(30.228455, -97.809379)",-97.809379,30.228455
PLUGNEVERYWHERE / PUBAMLI1,PLUGNEVERYWHERE,Multifamily,78701,"(30.265999, -97.748375)",-97.748375,30.265999
PLUGNEVERYWHERE / PUB-CENTRALMKTN,PLUGNEVERYWHERE,Retail,78705,"(30.308495, -97.740775)",-97.740775,30.308495
PLUGNEVERYWHERE / PUB-CENTRALMKTS,PLUGNEVERYWHERE,Retail,78745,"(30.232234, -97.798404)",-97.798404,30.232234
PLUGNEVERYWHERE / PUBCHASEESCAL1,PLUGNEVERYWHERE,Retail,78746,"(30.27567, -97.817127)",-97.817127,30.27567
PLUGNEVERYWHERE / PUB-DELL1,PLUGNEVERYWHERE,Workplace,78722,"(30.302507, -97.70694)",-97.70694,30.302507
PLUGNEVERYWHERE / PUB-DELL2,PLUGNEVERYWHERE,Workplace,78723,"(30.302489, -97.70692)",-97.70692,30.302489
PLUGNEVERYWHERE / PUB-DELL3,PLUGNEVERYWHERE,Workplace,78722,"(30.302517, -97.706963)",-97.706963,30.302517
PLUGNEVERYWHERE / PUBDENNYSNORTH1,PLUGNEVERYWHERE,Retail,78702,"(30.276489, -97.729614)",-97.729614,30.276489
PLUGNEVERYWHERE / PUBDENNYSNORTH2,PLUGNEVERYWHERE,Retail,78702,"(30.27652, -97.729645)",-97.729645,30.27652
PLUGNEVERYWHERE / PUBGABLES 5TH 1,PLUGNEVERYWHERE,Multifamily,78703,"(30.273914, -97.764313)",-97.764313,30.273914
PLUGNEVERYWHERE / PUBGABLES 5TH 2,PLUGNEVERYWHERE,Multifamily,78703,"(30.273823, -97.764206)",-97.764206,30.273823
PLUGNEVERYWHERE / PUBGABLESPARK 1,PLUGNEVERYWHERE,Multifamily,78701,"(30.267687, -97.755051)",-97.755051,30.267687
PLUGNEVERYWHERE / PUBGABLESPARK 2,PLUGNEVERYWHERE,Multifamily,78703,"(30.267736, -97.754929)",-97.754929,30.267736
PLUGNEVERYWHERE / PUBGABLESPRESS1,PLUGNEVERYWHERE,Multifamily,78703,"(30.272982, -97.760445)",-97.760445,30.272982
PLUGNEVERYWHERE / PUBGABLESPRESS2,PLUGNEVERYWHERE,Multifamily,78703,"(30.27289, -97.760269)",-97.760269,30.27289
PLUGNEVERYWHERE / PUBHARCON L2,PLUGNEVERYWHERE,Workplace,78730,"(30.373046, -97.806478)",-97.806478,30.373046
PLUGNEVERYWHERE / PUBHEBBRODIEST1,PLUGNEVERYWHERE,Retail,78745,"(30.21613, -97.829525)",-97.829525,30.21613
PLUGNEVERYWHERE / PUB-HEBCONGRESS,PLUGNEVERYWHERE,Retail,78704,"(30.238693, -97.753968)",-97.753968,30.238693
PLUGNEVERYWHERE / PUBHILL.CGAL1,PLUGNEVERYWHERE,Retail,78738,"(30.309265, -97.942333)",-97.942333,30.309265
PLUGNEVERYWHERE / PUBHILL.CGAL2,PLUGNEVERYWHERE,Retail,78738,"(30.30783, -97.938626)",-97.938626,30.30783
PLUGNEVERYWHERE / PUBLIFEWORKSST1,PLUGNEVERYWHERE,Workplace,78702,"(30.264948, -97.708034)",-97.708034,30.264948
PLUGNEVERYWHERE / PUBLIFEWORKSST2,PLUGNEVERYWHERE,Workplace,78702,"(30.264925, -97.708077)",-97.708077,30.264925
PLUGNEVERYWHERE / PUBLOSTPARROTS1,PLUGNEVERYWHERE,Hospitality,78734,"(30.382643, -97.933861)",-97.933861,30.382643
PLUGNEVERYWHERE / PUBPEARSON CTR1,PLUGNEVERYWHERE,Education,78753,"(30.417437, -97.664087)",-97.664087,30.417437
PLUGNEVERYWHERE / PUBPEARSONH LN1,PLUGNEVERYWHERE,Education,78753,"(30.416589, -97.666054)",-97.666054,30.416589
PLUGNEVERYWHERE / PUB-STDAVIDSST1,PLUGNEVERYWHERE,Healthcare,78701,"(30.268719, -97.738899)",-97.738899,30.268719
PLUGNEVERYWHERE / PUB-STDAVIDSST2,PLUGNEVERYWHERE,Healthcare,78701,"(30.268694, -97.738907)",-97.738907,30.268694
PLUGNEVERYWHERE / PUBWYNDHAMGARD1,PLUGNEVERYWHERE,Hospitality,78741,"(30.222803, -97.746101)",-97.746101,30.222803
PLUGNEVERYWHERE / SEAHOLMDC,PLUGNEVERYWHERE,Parking,78701,"(30.266814, -97.754094)",-97.754094,30.266814
PLUGNEVERYWHERE / SEAHOLML2,PLUGNEVERYWHERE,Parking,78703,"(30.266793, -97.754031)",-97.754031,30.266793
PRESIDIUM / ELEVATION,PRESIDIUM,Multifamily,78741,"(30.233914, -97.727254)",-97.727254,30.233914
PRESIDIUM / LAUREL,PRESIDIUM,Multifamily,78750,"(30.436594, -97.777617)",-97.777617,30.436594
PRESIDIUM / VIOLET,PRESIDIUM,Multifamily,78745,"(30.191582, -97.775626)",-97.775626,30.191582
PRESIDIUM / VUE,PRESIDIUM,Multifamily,78752,"(30.333857, -97.691302)",-97.691302,30.333857
RAINEY STREET / MILLENNIUM 01,RAINEY STREET,Multifamily,78701,"(30.260803, -97.737765)",-97.737765,30.260803
RAINEY STREET / MILLENNIUM 02,RAINEY STREET,Multifamily,78701,"(30.260538, -97.738296)",-97.738296,30.260538
ROSCOE PROPERTI / CURRENT MAIN,ROSCOE PROPERTI,Multifamily,78741,"(30.231758, -97.729473)",-97.729473,30.231758
ROSCOE PROPERTI / MESH MAIN,ROSCOE PROPERTI,Multifamily,78741,"(30.240977, -97.726259)",-97.726259,30.240977
ROSCOE PROPERTI / THE CONNECTION,ROSCOE PROPERTI,Multifamily,78741,"(30.227456, -97.726096)",-97.726096,30.227456
ROSCOE PROPERTI / TIMBERCREEK 1,ROSCOE PROPERTI,Multifamily,78704,"(30.256475, -97.751759)",-97.751759,30.256475
ROSCOE PROPERTI / TRIO MAIN,ROSCOE PROPERTI,Multifamily,78741,"(30.228786, -97.726326)",-97.726326,30.228786
ROSCOE PROPERTI / VOLUME MAIN,ROSCOE PROPERTI,Multifamily,78722,"(30.28544, -97.715107)",-97.715107,30.28544
RPP GARAGE / GARAGE 2,RPP GARAGE,Workplace,78727,"(30.429442, -97.755212)",-97.755212,30.429442
RPP GARAGE / GARAGE GW,RPP GARAGE,Workplace,78727,"(30.429363, -97.755248)",-97.755248,30.429363
RPP GARAGE / ISLAND 2,RPP GARAGE,Workplace,78759,"(30.427967, -97.754411)",-97.754411,30.427967
RPP GARAGE / ISLAND GW,RPP GARAGE,Workplace,78759,"(30.428017, -97.754379)",-97.754379,30.428017
SLEEP INN / SLEEP INN 1,SLEEP INN,Hospitality,78754,"(30.329889, -97.661712)",-97.661712,30.329889
SOLARWINDS / SOLARWINDS #1,SOLARWINDS,Workplace,78735,"(30.251073, -97.86319)",-97.86319,30.251073
SOLARWINDS / SOLARWINDS #2,SOLARWINDS,Workplace,78735,"(30.250799, -97.862755)",-97.862755,30.250799
SPRINGS AT TR / CLUBHOUSE,SPRINGS AT TR,Multifamily,78753,"(30.394787, -97.653242)",-97.653242,30.394787
STATION 1 / #1,STATION 1,Workplace,78746,"(30.304182, -97.828161)",-97.828161,30.304182
STATION 1 / @ THE DISTRICT,STATION 1,Multifamily,78741,"(30.22894, -97.719683)",-97.719683,30.22894
STATION 1 / PLAZA 1,STATION 1,Workplace,78746,"(30.347873, -97.800826)",-97.800826,30.347873
STATION1-PP / PELOTON GARAGE,STATION1-PP,Workplace,78731,"(30.386783, -97.768747)",-97.768747,30.386783
STEINER RANCH / EV CHARGER #1,STEINER RANCH,Multifamily,78732,"(30.383357, -97.873053)",-97.873053,30.383357
SUSTAINABLEFOOD / SUSTAINABLEFOOD,SUSTAINABLEFOOD,Workplace,78702,"(30.278611, -97.710364)",-97.710364,30.278611
THE GROVE / MAIN STATION 1,THE GROVE,Multifamily,78704,"(30.236473, -97.782607)",-97.782607,30.236473
THE MEDVE GROUP / ARTS S AUSTIN,THE MEDVE GROUP,Multifamily,78745,"(30.221064, -97.770408)",-97.770408,30.221064
THE MEDVE GROUP / BARTON HILLS,THE MEDVE GROUP,Multifamily,78704,"(30.261911, -97.773946)",-97.773946,30.261911
THE MEDVE GROUP / TURTLE CREEK,THE MEDVE GROUP,Multifamily,78745,"(30.204478, -97.783736)",-97.783736,30.204478
THE PRESERVE / MAIN GATEWAY 1,THE PRESERVE,Multifamily,78735,"(30.246834, -97.846018)",-97.846018,30.246834
TIG REAL ESTATE / PIE-STATION 1,TIG REAL ESTATE,Workplace,78746,"(30.265768, -97.779681)",-97.779681,30.265768
W1 / W1,W1,Workplace,78731,"(30.314723, -97.756396)",-97.756396,30.314723
WALLERCREEKSIDE / CREEKSIDE1,WALLERCREEKSIDE,Multifamily,78751,"(30.315229, -97.724395)",-97.724395,30.315229
WHITLEY MAIN / PIE-M WHITLEY,WHITLEY MAIN,Multifamily,78701,"(30.265199, -97.742194)",-97.742194,30.265199
WORKPLACE / PIE-P SUST FOOD,WORKPLACE,Workplace,78702,"(30.278064, -97.710187)",-97.710187,30.278064
YETI RAMBLERS / EVSE #1,YETI RAMBLERS,Workplace,78735,"(30.256412, -97.871799)",-97.871799,30.256412
YETI RAMBLERS / EVSE #2,YETI RAMBLERS,Workplace,78735,"(30.255806, -97.872517)",-97.872517,30.255806
YETI RAMBLERS / EVSE #3,YETI RAMBLERS,Workplace,78735,"(30.25183, -97.876086)",-97.876086,30.25183
YETI RAMBLERS / EVSE4,YETI RAMBLERS,Workplace,78735,"(30.251792, -97.876256)",-97.876256,30.251792
